,acc_mag_mean,acc_mag_std,acc_mag_max,acc_mag_p95,accY_mean,accY_std,accY_rate_below_neg3,accY_rate_above_pos3,accX_std,accX_max_abs,jerk_std,jerk_rms,gyroX_std,gyroY_std,gyroZ_std,spectral_energy_ratio_0.2_0.8hz
acc_mag_mean,1.0,0.7885778743634416,0.7737115776775879,0.8796111319356494,-0.2850695171058909,0.6729254751424724,0.44255691393294516,0.23018626615292093,0.8248212168857602,0.7370191382534954,0.6539887131997736,0.6543585596997539,0.4198329140166009,0.38083812584142535,0.29460565532230737,-0.24568697311717044
acc_mag_std,0.7885778743634416,1.0,0.9424393274706943,0.9332528136599867,-0.24819349401613947,0.6061312463432856,0.4136111405747506,0.3013717579093101,0.6704799219334995,0.7358725954060904,0.875497479665504,0.8767964942333953,0.4080285011729103,0.35392976307661783,0.32913667012738584,-0.2770186663541752
acc_mag_max,0.7737115776775879,0.9424393274706943,1.0,0.8630413194473824,-0.2490107258194243,0.5627442239069751,0.3696958357533145,0.21866245306395696,0.623904006454282,0.676145556306927,0.8527947396136002,0.8535822895719142,0.4127805447596668,0.32312020272829917,0.27801657000879454,-0.2437293810119476
acc_mag_p95,0.8796111319356494,0.9332528136599867,0.8630413194473824,1.0,-0.29385352072954846,0.6561082021926629,0.459507222691124,0.2766829680914395,0.7457299561221363,0.7769529005532423,0.7860850428800267,0.7874904057137354,0.40692393728330656,0.40329387945043754,0.3228497356037671,-0.28253332149363525
accY_mean,-0.2850695171058909,-0.24819349401613947,-0.2490107258194243,-0.29385352072954846,1.0,-0.19729602480943306,-0.44195941807162525,0.2329660317736111,-0.23486782680375315,-0.22584899596245872,-0.20021802900562405,-0.19949182291371362,-0.18298629127675944,-0.1506879044520193,-0.15539507413058462,-0.03214733186858183
accY_std,0.6729254751424724,0.6061312463432856,0.5627442239069751,0.6561082021926629,-0.19729602480943306,1.0,0.5552851918819345,0.36859303252756986,0.3537734527996632,0.3695455382365508,0.49312833665252603,0.49353331874552764,0.19397747514376643,0.2668893392152454,0.21315234184461282,-0.19311163586339097
accY_rate_below_neg3,0.44255691393294516,0.4136111405747506,0.3696958357533145,0.459507222691124,-0.44195941807162525,0.5552851918819345,1.0,0.17236987907469242,0.2408125179131698,0.19640603047755728,0.33612894159005824,0.33570818357004006,0.19752063981664128,0.1427304528449366,0.10096753469311973,-0.09897412374749574
accY_rate_above_pos3,0.23018626615292093,0.3013717579093101,0.21866245306395696,0.2766829680914395,0.2329660317736111,0.36859303252756986,0.17236987907469242,1.0,0.07504031786494575,0.11807373342691768,0.238127302960697,0.23848343208496056,0.08818407334239389,0.009425981731666741,0.03446652697162107,-0.13155904417450118
accX_std,0.8248212168857602,0.6704799219334995,0.623904006454282,0.7457299561221363,-0.23486782680375315,0.3537734527996632,0.2408125179131698,0.07504031786494575,1.0,0.8565961477541901,0.5387436284815542,0.53982788889171,0.4224312981257403,0.33093693650984574,0.3679027374368607,-0.22479000514934985
accX_max_abs,0.7370191382534954,0.7358725954060904,0.676145556306927,0.7769529005532423,-0.22584899596245872,0.3695455382365508,0.19640603047755728,0.11807373342691768,0.8565961477541901,1.0,0.6024015773948417,0.6040246201818397,0.4096212459141045,0.35074531815381405,0.37892589148772887,-0.22804049540629848
jerk_std,0.6539887131997736,0.875497479665504,0.8527947396136002,0.7860850428800267,-0.20021802900562405,0.49312833665252603,0.33612894159005824,0.238127302960697,0.5387436284815542,0.6024015773948417,1.0,0.9999711733924044,0.3360992243453276,0.3041811541163251,0.23313275529125005,-0.06305243118258923
jerk_rms,0.6543585596997539,0.8767964942333953,0.8535822895719142,0.7874904057137354,-0.19949182291371362,0.49353331874552764,0.33570818357004006,0.23848343208496056,0.53982788889171,0.6040246201818397,0.9999711733924044,1.0,0.33608255102462603,0.3051745696599292,0.23384548655816023,-0.06419767751360715
gyroX_std,0.4198329140166009,0.4080285011729103,0.4127805447596668,0.40692393728330656,-0.18298629127675944,0.19397747514376643,0.19752063981664128,0.08818407334239389,0.4224312981257403,0.4096212459141045,0.3360992243453276,0.33608255102462603,1.0,0.47170270592230573,0.41569543842637996,-0.17715855601809238
gyroY_std,0.38083812584142535,0.35392976307661783,0.32312020272829917,0.40329387945043754,-0.1506879044520193,0.2668893392152454,0.1427304528449366,0.009425981731666741,0.33093693650984574,0.35074531815381405,0.3041811541163251,0.3051745696599292,0.47170270592230573,1.0,0.4676167706036138,-0.1810312096249671
gyroZ_std,0.29460565532230737,0.32913667012738584,0.27801657000879454,0.3228497356037671,-0.15539507413058462,0.21315234184461282,0.10096753469311973,0.03446652697162107,0.3679027374368607,0.37892589148772887,0.23313275529125005,0.23384548655816023,0.41569543842637996,0.4676167706036138,1.0,-0.20136070351903468
spectral_energy_ratio_0.2_0.8hz,-0.24568697311717044,-0.2770186663541752,-0.2437293810119476,-0.28253332149363525,-0.03214733186858183,-0.19311163586339097,-0.09897412374749574,-0.13155904417450118,-0.22479000514934985,-0.22804049540629848,-0.06305243118258923,-0.06419767751360715,-0.17715855601809238,-0.1810312096249671,-0.20136070351903468,1.0
